occupancy,throughput
0.161936,9484.977102
0.184957,9486.378979
0.167268,9511.518810
0.166567,9520.616036
0.175447,9515.166133
0.155088,9526.591319
0.154834,9514.213785
0.181821,9508.628333
0.160926,9488.708525
0.178030,9486.060407
0.193440,9509.937693
0.156658,9514.183011
0.178489,9523.898425
0.165304,9516.841362
0.157224,9528.833479
0.164707,9494.166032
0.180897,9492.531168
0.170845,9481.827625
0.159318,9481.250441
0.083843,9464.529169
0.095550,9492.799719
0.082439,9518.125797
0.081903,9471.709742
0.075135,9494.721327
0.099135,9457.824520
0.103210,9449.964843
0.082617,9421.266662
0.084939,9483.669191
0.099005,9474.861490
0.087959,9470.000075
0.075812,9477.377610
0.074768,9458.745974
0.061299,9484.399595
0.057913,9444.652538
0.070273,9428.532858
0.084310,9504.460234
0.076125,9493.533309
0.075680,9471.700725
0.086790,9463.296743
0.073393,9448.246947
0.086511,9438.485632
0.079489,9458.577790
0.068548,9481.138967
0.070442,9488.681538
0.068448,9471.254025
0.062143,9462.263365
0.048980,9440.210650
0.073889,9466.869489
0.070737,9464.274715
0.066924,9486.652580
0.079243,9447.513216
0.070327,9470.855744
0.065389,9348.466117
0.070983,9454.376625
0.066768,9450.143419
0.064129,9449.343280
0.068161,9481.602837
0.083946,9418.599307
0.074195,9441.674190
0.060795,9393.167535
0.062371,9452.187183
0.078883,9438.097210
0.072612,9464.446705
0.058377,9456.577735
0.065858,9433.428319
0.063094,9411.169512
0.053979,9443.402108
0.073840,9447.893442
0.069716,9460.949199
0.055068,9420.104054
0.058136,9403.878724
0.077582,9408.490090
0.064609,9440.647295
0.067453,9442.902698
0.064989,9456.965887
0.061705,9419.078348
0.054571,9410.489324
0.069188,9436.779080
0.056859,9446.690337
0.059156,9455.193623
0.058224,9445.976499
0.053674,9415.440480
0.066345,9422.809558
0.081165,9427.949727
0.069843,9411.677866
0.079036,9414.635600
0.076125,9394.609462
0.070984,9391.925441
0.055991,9398.406164
0.056817,9430.919454
0.066341,9425.203927
0.055183,9385.451872
0.065411,9402.838874
0.050538,9398.188861
0.050717,9428.006595
0.052681,9421.440598
0.059413,9406.374928
0.056625,9384.037417
0.053414,9403.116504
0.055325,9422.981844
0.053298,9413.423269
0.058826,9374.188567
0.062394,9384.409020
0.058352,9449.436145
0.051151,9409.251386
0.054884,9421.948369
0.056221,9393.748093
0.056472,9421.412233
0.053917,9401.907066
0.044518,9373.478547
0.079116,9386.422642
0.049312,9374.620913
0.071952,9381.464986
0.076781,9369.914476
0.062147,9408.546789
0.165097,9363.311636
0.168935,9387.680989
0.166626,9372.963734
0.166055,9411.394451
0.157081,9378.185022
0.151044,9386.089639
0.179282,9368.992746
0.159828,9402.218265
0.170555,9400.160684
0.157181,9360.026857
0.156084,9364.318247
0.155867,9423.031528
0.166630,9388.040582
0.187139,9400.097074
0.158457,9362.533179
0.195745,9381.255521
0.176962,9381.220310
0.183717,9352.612148
0.169961,9360.238913
0.176534,9326.543350
0.165612,9402.044940
0.156800,9349.544658
0.158483,9358.145355
0.171216,9364.256885
0.115161,9379.953225
0.112880,9392.998112
0.113507,9362.792648
0.102234,9339.736654
0.100558,9384.245228
0.099365,9383.836622
0.100849,9371.301860
0.108958,9348.777240
0.109708,9347.517107
0.115778,9383.988118
0.109891,9397.627138
0.107530,9363.166176
0.108045,9350.990727
0.111774,9383.183293
0.094920,9355.504879
0.103208,9358.120880
0.093721,9303.371053
0.115305,9385.733714
0.123019,9369.298218
0.105856,9340.989418
0.117399,9347.277713
0.131238,9375.181631
0.108361,9354.997254
0.108797,9320.003266
0.100727,9362.817193
0.112024,9357.987724
0.113143,9331.796724
0.084318,9321.318506
0.083107,9366.284640
0.092397,9386.257027
0.089255,9349.338387
0.090050,9330.971226
0.083243,9345.204016
0.099855,9332.810445
0.092390,9323.287818
0.099085,9300.759587
0.089506,9367.126936
0.095699,9335.978502
0.118914,9337.533727
0.100025,9325.082240
0.077865,9369.651106
0.077375,9353.840422
0.085624,9337.779631
0.116051,9314.339773
0.135428,9342.733139
0.121723,9304.600237
0.103086,9321.497492
0.082907,9338.077816
0.126013,9366.274123
0.098571,9323.698104
0.100677,9333.688545
0.111665,9334.531871
0.127870,9307.665992
0.107185,9314.435207
0.114785,9298.734088
0.124754,9334.049180
0.120056,9330.142391
0.087181,9288.780354
0.108030,9345.839813
0.096226,9338.496416
0.110178,9308.690152
0.090462,9304.324930
0.122456,9338.979534
0.101525,9313.088919
0.104207,9296.197879
0.116266,9337.331474
0.138728,9341.790513
0.134121,9336.196451
0.119287,9292.165643
0.107269,9311.800246
0.128501,9325.237021
0.115284,9282.153510
0.116640,9330.781427
0.129799,9329.263291
0.132794,9315.122397
0.121525,9307.494495
0.135589,9331.107066
0.122410,9325.364005
0.114277,9300.562366
0.102008,9320.696443
0.141972,9342.775001
0.149270,9310.893337
0.110962,9309.601823
0.113690,9330.823208
0.126613,9332.862712
0.125145,9310.685242
0.139707,9296.961898
0.130117,9324.132782
0.127527,9261.058258
0.132606,9287.130999
0.120919,9297.281697
0.163971,9289.158312
0.124939,9263.553065
0.122192,9328.413915
0.113936,9287.962520
0.115923,9291.069151
0.110154,9315.632622
0.124986,9310.477247
0.126401,9280.694241
0.117172,9335.424216
0.151002,9310.146058
0.130159,9321.792941
0.125824,9285.544253
0.106154,9280.871657
0.107862,9305.800318
0.111949,9245.946764
0.128969,9324.878751
0.132717,9288.147181
0.129715,9264.007921
0.141855,9298.621698
0.115339,9306.652524
0.117824,9274.918415
0.145595,9299.469130
0.125543,9312.398586
0.126951,9294.397229
0.110665,9282.074264
0.108066,9326.125886
0.112297,9273.891395
0.122982,9300.704250
0.111922,9314.263487
0.104934,9254.159140
0.119580,9265.671441
0.128441,9278.031795
0.126248,9306.134597
0.096812,9245.348431
0.099230,9303.937088
0.104240,9293.775336
0.110593,9281.179997
0.102251,9277.868283
0.105905,9290.445883
0.133853,9266.725849
0.106201,9284.076989
0.108053,9287.534639
0.104325,9285.890828
0.118850,9281.691716
0.132437,9262.873501
0.109474,9268.178994
0.104207,9261.068642
0.097488,9282.605014
0.101932,9249.122915
0.095274,9255.957975
0.128179,9289.569079
0.110012,9245.548476
0.097743,9083.077844
0.136323,9268.510633
0.143331,9247.171141
0.139146,9294.779068
0.133679,9290.943086
0.122597,9267.917869
0.137066,9285.640807
0.136129,9243.336769
0.148787,9244.165584
0.151826,9236.882057
0.148296,9263.057127
0.129598,9252.196745
0.126613,9285.316619
0.142710,9260.319072
0.151333,9240.692307
0.135415,9287.044703
0.141178,9262.616120
0.155103,9248.192252
0.145042,9280.530603
0.136656,9263.065719
0.145333,9263.403764
0.150855,9268.014114
0.134117,9217.478478
0.151002,9280.070652
0.152213,9258.187688
0.119369,9235.177704
0.124140,9271.750338
0.119388,9254.053025
0.129655,9224.088156
0.111427,9266.627935
0.114575,9241.460859
0.119532,9235.343159
0.112422,9270.749832
0.106818,9260.926233
0.118967,9231.162352
0.102427,9230.414200
0.112777,9250.741702
0.102662,9214.566887
0.143770,9259.058649
0.150859,9192.937310
0.115390,9257.334041
0.120721,9246.517879
0.120637,9243.698999
0.127032,9256.081362
0.123451,9241.027028
0.122198,9210.616960
0.121200,9272.778608
0.128762,9246.859915
0.119483,9228.468626
0.081825,9285.206242
0.088829,9205.846620
0.060714,9215.487378
0.069230,9253.498115
0.070935,9225.173928
0.082673,9241.279838
0.072020,9256.170441
0.073216,9226.065902
0.074289,9252.770341
0.074851,9231.203221
0.087232,9202.197114
0.097116,9254.618275
0.071271,9256.463437
0.066750,9220.262669
0.071846,9202.774681
0.077785,9228.729245
0.070118,9213.004876
0.092598,9246.093866
0.077095,9193.226373
0.075534,9240.663277
0.064264,9215.247910
0.064082,9227.463785
0.078532,9253.181315
0.067323,9195.016769
0.094110,9259.946920
0.112574,9247.889508
0.097127,9200.549526
0.102734,9209.924777
0.084794,9205.763538
0.113271,9231.632759
0.128240,9220.148729
0.112733,9231.573123
0.108502,9233.093692
0.108563,9203.209957
0.077888,9242.952308
0.091881,9220.755790
0.091501,9200.222770
0.094869,9243.242780
0.124044,9226.205516
0.115959,9210.829101
0.130997,9064.744977
0.105994,9188.095762
0.099795,9222.686205
0.115906,9190.721989
0.124016,9236.829182
0.123114,9189.480464
0.106206,9200.710330
0.105337,9222.165663
0.111897,9166.615314
0.118585,9237.564686
0.131901,9207.268889
0.121792,9205.022931
0.121831,9224.077962
0.130542,9177.317702
0.138800,9204.206170
0.128898,9190.730454
0.128868,9172.738245
0.123078,9220.209971
0.113819,9196.892397
0.113949,9218.523610
0.103716,9180.494040
0.114727,9196.579454
0.114671,9228.322167
0.115853,9203.784331
0.121449,9215.244494
0.116289,9187.462662
0.113545,9173.916389
0.148303,9217.665361
0.118652,9172.687768
0.120610,9217.281361
0.120790,9193.140169
0.098937,9177.268857
0.186040,9225.939978
0.189386,9183.115904
0.189329,9190.994038
0.176870,9229.601451
0.173727,9181.016602
0.180892,9181.195296
0.168503,9184.823086
0.178855,9207.167137
0.179527,9175.315336
0.175653,9220.107990
0.172042,9200.625689
0.179609,9170.603319
0.184659,9196.645400
0.199262,9192.016276
0.188841,9227.067044
0.178524,9199.615112
0.166954,9178.710989
0.181494,9209.063048
0.165363,9136.700540
0.196286,9206.578859
0.183506,9163.725739
0.181353,9184.575090
0.163414,9191.531286
0.168492,9180.864870
0.123856,9223.330926
0.095038,9195.365117
0.110214,9171.528528
0.107792,9224.641268
0.106193,9155.064426
0.114279,9211.000461
0.101613,9183.567935
0.121099,9178.405992
0.122372,9186.119032
0.119267,9140.545604
0.116769,9188.619215
0.118436,9155.795367
0.116074,9207.979358
0.100072,9188.467244
0.113028,9164.812467
0.102338,9211.149778
0.122468,9186.709748
0.107645,9200.481828
0.122904,9144.724932
0.102746,9195.145234
0.100547,9172.825777
0.140765,9188.521284
0.150464,9201.990512
0.123297,9181.082388
0.152050,9220.822114
