occupancy,throughput
0.160058,9287.722677
0.168694,9237.699479
0.178700,9301.671433
0.174671,9270.110406
0.184577,9276.253658
0.190835,9239.722427
0.199663,9268.074221
0.179533,9256.429168
0.202926,9267.417995
0.190805,9251.486298
0.196715,9277.205489
0.182927,9259.240374
0.160505,9278.274537
0.207750,9253.592319
0.193689,9255.527894
0.159727,9256.028177
0.173054,9274.990630
0.162630,9257.654574
0.180403,9290.105804
0.052278,9391.614976
0.045361,9425.722748
0.051198,9220.175945
0.047866,9282.549893
0.056637,9406.079518
0.067515,9384.347382
0.064163,9363.751753
0.062748,9384.650359
0.060083,9357.668994
0.071085,9374.859915
0.064456,9318.146455
0.067859,9362.654127
0.063562,9358.308244
0.057944,9395.850608
0.063270,9362.086123
0.065196,9377.898325
0.057654,9371.152533
0.043791,9437.318744
0.074767,9367.291871
0.087229,9335.274323
0.078009,9326.129327
0.064997,9356.352178
0.068121,9363.599231
0.058260,9386.732850
0.102704,9302.914057
0.098964,9330.683926
0.097463,9288.045330
0.094991,9330.826704
0.080763,9303.885222
0.088620,9339.244665
0.096929,9180.000181
0.090286,9326.846100
0.088506,9306.034126
0.094664,9336.020349
0.089214,9271.047221
0.103629,9309.842745
0.091207,9300.816704
0.090346,9297.359450
0.086258,9302.900162
0.085190,9269.756333
0.080591,9318.500760
0.089142,9333.414999
0.109120,9256.125873
0.102833,9295.921337
0.122800,9272.716698
0.086885,9314.530689
0.084438,9294.639122
0.091900,9299.026389
0.131765,9253.164142
0.124331,9268.548339
0.115747,9254.112906
0.101272,9271.552629
0.110570,9278.014562
0.095074,9269.220241
0.104160,9274.768690
0.121512,9272.549882
0.105860,9121.692318
0.129246,9291.110571
0.110676,9281.136952
0.127458,9271.617938
0.113541,9250.692091
0.111550,9294.084534
0.115912,9250.283053
0.130819,9253.340539
0.119046,9244.815107
0.108137,9276.909384
0.121073,9234.210633
0.119341,9258.652281
0.114083,9249.797084
0.105653,9276.245086
0.110929,9247.400356
0.118609,9256.146453
0.067261,9283.402976
0.088729,9281.038708
0.093907,9250.887216
0.072328,9308.927560
0.075202,9308.560174
0.071905,9326.285899
0.081672,9287.432815
0.080533,9323.571146
0.086609,9261.161205
0.098737,9284.918291
0.093930,9239.312641
0.074580,9306.851746
0.094419,9256.213281
0.093506,9265.324590
0.091507,9295.136735
0.093730,9175.763205
0.089321,9272.541285
0.086564,9257.784864
0.085422,9260.950202
0.093413,9243.124833
0.078853,9261.054865
0.091270,9291.821925
0.076071,9251.972502
0.084835,9277.084988
0.081010,9237.358177
0.064937,9293.813279
0.072509,9280.187765
0.064171,9318.721316
0.073115,9277.537705
0.070770,9319.744416
0.067500,9310.198150
0.060884,9334.254822
0.060874,9321.921586
0.060569,9310.673145
0.072791,9283.515018
0.079853,9278.711892
0.064296,9277.167637
0.068044,9323.047889
0.071422,9291.590535
0.071182,9287.458708
0.068569,9173.774929
0.069302,9308.320990
0.057819,9306.929699
0.063483,9132.390064
0.063548,9303.931909
0.069051,9317.495352
0.076879,9274.871955
0.080555,9256.547442
0.134332,9216.008876
0.118203,9277.642711
0.125673,9207.738556
0.129940,9232.800485
0.126356,9221.073756
0.142423,9206.297487
0.132590,9199.381487
0.120560,9234.382877
0.126273,9211.329659
0.126394,9207.940312
0.115783,9203.928327
0.139021,9211.149772
0.124140,9200.095828
0.107859,9224.830160
0.119673,9221.895219
0.129812,9218.496410
0.130139,9195.564580
0.137601,9210.964790
0.142940,9205.087313
0.131134,9200.041651
0.113714,9099.677860
0.114615,9266.906186
0.116082,9244.680099
0.132491,9211.679212
0.089129,9249.328229
0.088633,9261.281261
0.088676,9228.642387
0.098418,9239.619969
0.075416,9244.064721
0.072305,9297.732941
0.081870,9265.089388
0.089926,9252.237844
0.080576,9258.569981
0.083732,9257.690568
0.088242,9262.418730
0.089854,9258.508254
0.087633,9244.885172
0.084374,9279.951782
0.071890,9248.777333
0.069516,9286.416861
0.070966,9282.430941
0.083926,9255.589581
0.094767,9231.072039
0.079466,9272.589433
0.087761,9223.024713
0.079624,9258.144830
0.083064,9248.695196
0.086368,9254.078681
0.144131,9033.472635
0.131019,9110.377133
0.112642,9237.656804
0.102346,9229.986534
0.113275,9227.451903
0.125787,9243.564031
0.119750,9229.739521
0.136789,9207.114576
0.108703,9227.683486
0.130186,9239.637022
0.124037,9195.809830
0.124230,9221.381608
0.121151,9208.435496
0.119581,9172.176220
0.125994,9195.087719
0.110557,9235.858358
0.114087,9224.387663
0.104176,9246.832579
0.125309,9197.428645
0.110421,9233.883203
0.134105,9193.089430
0.137904,9202.645902
0.125643,9209.853510
0.119864,9241.788852
0.065214,9254.267096
0.075697,9270.856362
0.081945,9260.397921
0.079596,9121.011763
0.073144,9282.853144
0.085834,9260.247016
0.075806,9074.650617
0.062487,9301.406716
0.071679,9255.700946
0.081691,9248.272659
0.093360,9209.166516
0.102417,9228.001987
0.072217,9244.331386
0.086944,9221.643475
0.073715,9237.021993
0.076799,9283.022058
0.086803,9229.347648
0.086691,9237.651712
